productname	formulation	route	drugsubstance	strength	database	productcode
Dutonin 100mg tablets	Tablet	Oral	Nefazodone hydrochloride	100.000mg	Aurum	489741000033113
Nefazodone 100mg tablets	Tablet	Oral	Nefazodone hydrochloride	100.000mg	Aurum	966141000033116
Nefazodone 200mg tablets	Tablet	Oral	Nefazodone hydrochloride	200.000mg	Aurum	966241000033111
Dutonin 200mg tablets	Tablet	Oral	Nefazodone hydrochloride	200.000mg	Aurum	489841000033115
Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Tablet	Oral	Nefazodone hydrochloride	100mg	Gold	3391
Nefazodone 200mg tablets	Tablet	Oral	Nefazodone hydrochloride	200mg	Gold	4011
Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Tablet	Oral	Nefazodone hydrochloride	200mg	Gold	4297
Nefazodone 100mg tablets	Tablet	Oral	Nefazodone hydrochloride	100mg	Gold	4554
Nefazodone Starter pack	Starter Pack	Oral	Nefazodone Hydrochloride		Gold	9534
Dutonin 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Tablet	Oral	Nefazodone hydrochloride	50mg	Gold	63827
Nefazodone 50mg tablets	Tablet	Oral	Nefazodone hydrochloride	50mg	Gold	67757
Nortriptyline 10mg tablets	Tablet	Oral	Nortriptyline hydrochloride	10.000mg	Aurum	989141000033111
Allegron 10mg tablets	Tablet	Oral	Nortriptyline hydrochloride	10.000mg	Aurum	38741000033119
Allegron 25mg tablets	Tablet	Oral	Nortriptyline hydrochloride	25.000mg	Aurum	38841000033112
Nortriptyline 25mg tablets	Tablet	Oral	Nortriptyline hydrochloride	25.000mg	Aurum	989241000033116
Motipress tablets	Tablet	Oral	Fluphenazine hydrochloride/ Nortriptyline hydrochloride	1.500mg + 30.000mg	Aurum	938841000033118
Motival 10mg/500microgram tablets	Tablet	Oral	Fluphenazine hydrochloride/ Nortriptyline hydrochloride	500.000microgram + 10.000mg	Aurum	938941000033114
Nortriptyline 10mg / Fluphenazine 500microgram tablets	Tablet	Oral	Fluphenazine hydrochloride/ Nortriptyline hydrochloride	500.000microgram + 10.000mg	Aurum	3179941000033111
Nortriptyline 10mg/5ml oral solution	Oral solution	Oral	Nortriptyline hydrochloride	2.000mg/1.000ml	Aurum	11072841000033114
Nortriptyline 10mg/5ml oral suspension	Oral suspension	Oral	Nortriptyline hydrochloride	2.000mg/1.000ml	Aurum	12257841000033117
Nortriptyline 50mg tablets	Tablet	Oral	Nortriptyline hydrochloride	50.000mg	Aurum	12292341000033116
Motival 10mg/500microgram tablets (Sanofi)	Tablet	Oral	Fluphenazine hydrochloride/Nortriptyline hydrochloride	500microgram + 10mg	Gold	2936
Nortriptyline 10mg tablets	Tablet	Oral	Nortriptyline hydrochloride	10mg	Gold	3183
Nortriptyline 25mg tablets	Tablet	Oral	Nortriptyline hydrochloride	25mg	Gold	3903
Nortriptyline 10mg Capsule	Capsule	Oral	Nortriptyline Hydrochloride	10mg	Gold	4118
Allegron 10mg tablets (King Pharmaceuticals Ltd)	Tablet	Oral	Nortriptyline hydrochloride	10mg	Gold	7677
Nortriptyline 25mg Capsule	Capsule	Oral	Nortriptyline Hydrochloride	25mg	Gold	7678
Nortriptyline 10mg / Fluphenazine 500microgram tablets	Tablet	Oral	Fluphenazine hydrochloride/Nortriptyline hydrochloride	500microgram + 10mg	Gold	7780
Motipress tablets (Sanofi-Synthelabo Ltd)	Tablet	Oral	Nortriptyline hydrochloride/Fluphenazine hydrochloride	30mg + 1.5mg	Gold	8493
Allegron 25mg tablets (King Pharmaceuticals Ltd)	Tablet	Oral	Nortriptyline hydrochloride	25mg	Gold	8640
Aventyl 25mg Capsule (Eli Lilly and Company Ltd)	Capsule	Oral	Nortriptyline Hydrochloride	25mg	Gold	12353
Aventyl 10mg/5ml Liquid (Eli Lilly and Company Ltd)	Liquid	Oral	Nortriptyline Hydrochloride	10mg/5ml	Gold	12549
Nortriptyline 30mg / Fluphenazine 1.5mg tablets	Tablet	Oral	Nortriptyline hydrochloride/Fluphenazine hydrochloride	30mg + 1.5mg	Gold	14578
Aventyl 10mg Capsule (Eli Lilly and Company Ltd)	Capsule	Oral	Nortriptyline Hydrochloride	10mg	Gold	17183
Fluphenazine with nortriptyline 500microgramswith10mg Tablet	Tablet	Oral	Nortriptyline Hydrochloride/Fluphenazine Hydrochloride	500mcg + 10mg	Gold	20571
Nortriptyline 10mg/5ml Liquid	Liquid	Oral	Nortriptyline Hydrochloride	10mg/5ml	Gold	39145
Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Nortriptyline hydrochloride	25mg	Gold	48216
Nortriptyline 10mg tablets (King Pharmaceuticals Ltd)	Tablet	Oral	Nortriptyline hydrochloride	10mg	Gold	55970
Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Nortriptyline hydrochloride	25mg	Gold	63276
Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Nortriptyline hydrochloride	10mg	Gold	65237
Nortriptyline 25mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Nortriptyline hydrochloride	25mg	Gold	66201
Nortriptyline 10mg/5ml oral suspension	Oral suspension	Oral	Nortriptyline hydrochloride	2mg/1ml	Gold	68228
Nortriptyline 50mg tablets	Tablet	Oral	Nortriptyline hydrochloride	50mg	Gold	69317
Nortriptyline 10mg/5ml oral solution	Oral solution	Oral	Nortriptyline hydrochloride	2mg/1ml	Gold	72626
HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets	Modified-release tablet		Oxitriptan	50.000mg	Aurum	4655141000033113
Lamberts 5-HTP 100mg tablets (Lamberts Healthcare Ltd)	Tablet	Oral	Oxitriptan	100mg	Gold	62427
Paroxetine 20mg tablets	Tablet	Oral	Paroxetine hydrochloride	20.000mg	Aurum	1042141000033117
Seroxat 20mg tablets	Tablet	Oral	Paroxetine hydrochloride	20.000mg	Aurum	1278341000033111
Seroxat 30mg tablets	Tablet	Oral	Paroxetine hydrochloride	30.000mg	Aurum	1278441000033117
Paroxetine 30mg tablets	Tablet	Oral	Paroxetine hydrochloride	30.000mg	Aurum	1042241000033112
Paroxetine 10mg tablets	Tablet	Oral	Paroxetine hydrochloride	10.000mg	Aurum	4079041000033115
Seroxat 10mg tablets	Tablet	Oral	Paroxetine hydrochloride	10.000mg	Aurum	4079141000033116
Paroxetine 40mg tablets	Tablet	Oral	Paroxetine hydrochloride	40.000mg	Aurum	11755441000033119
Paroxetine 10mg/5ml oral suspension sugar free	Oral suspension	Oral	Paroxetine hydrochloride	2.000mg/1.000ml	Aurum	1662441000033114
Seroxat 20mg/10ml liquid	Oral suspension	Oral	Paroxetine hydrochloride	2.000mg/1.000ml	Aurum	1686141000033119
Paroxetine 20mg tablets	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	50
Paroxetine 10mg/5ml oral suspension sugar free	Oral suspension	Oral	Paroxetine hydrochloride	2mg/1ml	Gold	527
Seroxat 20mg tablets (GlaxoSmithKline UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	841
Paroxetine 30mg tablets	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	1397
Seroxat 30mg tablets (GlaxoSmithKline UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	1575
Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd)	Oral suspension	Oral	Paroxetine hydrochloride	2mg/1ml	Gold	3601
Paroxetine 20mg tablets (Actavis UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	32899
Paroxetine 20mg tablets (Mylan)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	33978
Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	34351
Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	34419
Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	34587
Paroxetine 10mg tablets	Tablet	Oral	Paroxetine hydrochloride	10mg	Gold	35021
Seroxat 10mg tablets (GlaxoSmithKline UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	10mg	Gold	35112
Paroxetine 30mg tablets (Actavis UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	40165
Paroxetine 20mg tablets (Genus Pharmaceuticals Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	40892
Paroxetine 20mg tablets (Medreich Plc)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	55023
Seroxat 30mg tablets (Lexon (UK) Ltd)	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	55537
Paroxetine 10mg tablets (Actavis UK Ltd)	Tablet	Oral	Paroxetine hydrochloride	10mg	Gold	59288
Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Paroxetine hydrochloride	30mg	Gold	64785
Seroxat 10mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Paroxetine hydrochloride	10mg	Gold	66292
Paroxetine 10mg/5ml oral solution	Oral solution	Oral	Paroxetine hydrochloride	2mg/1ml	Gold	67259
Paroxetine 40mg tablets	Tablet	Oral	Paroxetine hydrochloride	40mg	Gold	68325
Seroxat 20mg tablets (Lexon (UK) Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	73589
Paroxetine 20mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	73668
Seroxat 20mg tablets (DE Pharmaceuticals)	Tablet	Oral	Paroxetine hydrochloride	20mg	Gold	74588
Paroxetine oral liquid			Paroxetine Hydrochloride		Gold	75054
Phenelzine 15mg tablets	Tablet	Oral	Phenelzine sulfate	15.000mg	Aurum	1079341000033111
Nardil 15mg tablets	Tablet	Oral	Phenelzine sulfate	15.000mg	Aurum	955241000033110
Nardil 15mg tablets (Kyowa Kirin Ltd)	Tablet	Oral	Phenelzine sulfate	15mg	Gold	3349
Phenelzine 15mg tablets	Tablet	Oral	Phenelzine sulfate	15mg	Gold	4321
Edronax 4mg tablets	Tablet	Oral	Reboxetine mesilate	4.000mg	Aurum	496741000033118
Reboxetine 4mg tablets	Tablet	Oral	Reboxetine mesilate	4.000mg	Aurum	1165641000033115
Reboxetine 4mg tablets	Tablet	Oral	Reboxetine mesilate	4mg	Gold	2356
Edronax 4mg tablets (Pfizer Ltd)	Tablet	Oral	Reboxetine mesilate	4mg	Gold	15163
Sertraline 50mg tablets	Tablet	Oral	Sertraline hydrochloride	50.000mg	Aurum	1278841000033119
Lustral 50mg tablets	Tablet	Oral	Sertraline hydrochloride	50.000mg	Aurum	854241000033118
Lustral 100mg tablets	Tablet	Oral	Sertraline hydrochloride	100.000mg	Aurum	854141000033113
Sertraline 100mg tablets	Tablet	Oral	Sertraline hydrochloride	100.000mg	Aurum	1278741000033112
Sertraline 100mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	20.000mg/1.000ml	Aurum	5975341000033119
Sertraline 50mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	10.000mg/1.000ml	Aurum	4148341000033116
Sertraline 50mg tablets	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	488
Sertraline 100mg tablets	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	727
Lustral 50mg tablets (Pfizer Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	1612
Lustral 100mg tablets (Pfizer Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	4352
Sertraline 50mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	10mg/1ml	Gold	7328
Sertraline 50mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	32401
Sertraline 50mg tablets (Actavis UK Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	42387
Sertraline 100mg tablets (Teva UK Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	44944
Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	45915
Sertraline 100mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	20mg/1ml	Gold	49519
Sertraline 25mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	5mg/1ml	Gold	54081
Sertraline 150mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	30mg/1ml	Gold	54826
Sertraline 100mg tablets (PLIVA Pharma Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	54933
Sertraline 100mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	55146
Sertraline 50mg tablets (Teva UK Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	55488
Sertraline 50mg tablets (Mylan)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	58664
Sertraline 50mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	58723
Sertraline 100mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	59600
Sertraline 100mg tablets (Actavis UK Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	61503
Sertraline 100mg tablets (Bristol Laboratories Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	62692
Sertraline 50mg tablets (Bristol Laboratories Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	62693
Sertraline 12.5mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	2.5mg/1ml	Gold	62819
Sertraline 50mg tablets (Wockhardt UK Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	62927
Sertraline 100mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	62950
Sertraline 50mg tablets (Milpharm Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	63481
Sertraline 200mg/5ml oral suspension (Special Order)	Oral Suspension	Oral	Sertraline		Gold	65771
Sertraline 100mg tablets (Ranbaxy (UK) Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	66413
Sertraline 100mg tablets (Mylan)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	66560
Sertraline 50mg tablets (Ranbaxy (UK) Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	67730
Sertraline 100mg tablets (Milpharm Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	67928
Sertraline 100mg tablets (Sandoz Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	68756
Sertraline 50mg tablets (Crescent Pharma Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	69725
Sertraline 100mg tablets (Crescent Pharma Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	69726
Sertraline 50mg tablets (Sandoz Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	69898
Sertraline 20mg/5ml oral suspension	Oral suspension	Oral	Sertraline hydrochloride	4mg/1ml	Gold	73759
Sertraline 100mg tablets (Wockhardt UK Ltd)	Tablet	Oral	Sertraline hydrochloride	100mg	Gold	73962
Sertraline 50mg/5ml oral solution	Oral solution	Oral	Sertraline hydrochloride	10mg/1ml	Gold	75405
Sertraline 50mg tablets (Tillomed Laboratories Ltd)	Tablet	Oral	Sertraline hydrochloride	50mg	Gold	75952
Tranylcypromine 10mg tablets	Tablet	Oral	Tranylcypromine sulfate	10.000mg	Aurum	1469441000033116
Parstelin Tablet (GlaxoSmithKline Consumer Healthcare)	Tablet	Oral	Trifluoperazine Hydrochloride/Tranylcypromine Sulphate		Gold	3356
Tranylcypromine 10mg tablets	Tablet	Oral	Tranylcypromine sulfate	10mg	Gold	3783
Tranylcypromine with trifluoperazine Tablet	Tablet	Oral	Trifluoperazine Hydrochloride/Tranylcypromine Sulphate		Gold	3955
Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd)	Tablet	Oral	Tranylcypromine sulfate	10mg	Gold	10787
Trifluoperazine with tranylcypromine 1mg + 10mg Tablet	Tablet	Oral	Trifluoperazine Hydrochloride/Tranylcypromine Sulphate	1mg + 10mg	Gold	24890
Tranylcypromine 10mg tablets (AMCo)	Tablet	Oral	Tranylcypromine sulfate	10mg	Gold	41654
Trazodone 150mg tablets	Tablet	Oral	Trazodone hydrochloride	150.000mg	Aurum	1473641000033113
Molipaxin 150mg tablets	Tablet	Oral	Trazodone hydrochloride	150.000mg	Aurum	938741000033111
Molipaxin 100mg capsules	Capsule	Oral	Trazodone hydrochloride	100.000mg	Aurum	923241000033113
Trazodone 100mg capsules	Capsule	Oral	Trazodone hydrochloride	100.000mg	Aurum	1455241000033113
Trazodone 50mg capsules	Capsule	Oral	Trazodone hydrochloride	50.000mg	Aurum	1454641000033112
Molipaxin 50mg capsules	Capsule	Oral	Trazodone hydrochloride	50.000mg	Aurum	923041000033117
Molipaxin 50mg/5ml oral liquid	Oral solution	Oral	Trazodone hydrochloride	10.000mg/1.000ml	Aurum	929541000033113
Trazodone 50mg/5ml oral solution sugar free	Oral solution	Oral	Trazodone hydrochloride	10.000mg/1.000ml	Aurum	1461941000033113
Trazodone 150mg modified-release tablets	Modified-release tablet	Oral	Trazodone hydrochloride	150.000mg	Aurum	1462241000033110
Molipaxin CR 150mg tablets	Modified-release tablet	Oral	Trazodone hydrochloride	150.000mg	Aurum	929841000033110
Trazodone 100mg/5ml oral solution sugar free	Oral solution	Oral	Trazodone hydrochloride	20.000mg/1.000ml	Aurum	12476541000033119
Trazodone 100mg capsules	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	1730
Trazodone 50mg capsules	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	3355
Molipaxin 150mg tablets (Zentiva)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	4003
Trazodone 150mg tablets	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	4020
Molipaxin 100mg capsules (Zentiva)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	4194
Molipaxin 50mg capsules (Zentiva)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	4874
Trazodone 50mg/5ml oral solution sugar free	Oral solution	Oral	Trazodone hydrochloride	10mg/1ml	Gold	6442
Molipaxin 50mg/5ml oral liquid (Sanofi)	Oral solution	Oral	Trazodone hydrochloride	10mg/1ml	Gold	8174
Trazodone 150mg modified-release tablets	Modified-release tablet	Oral	Trazodone hydrochloride	150mg	Gold	12710
Molipaxin CR 150mg tablets (Aventis Pharma)	Modified-release tablet	Oral	Trazodone hydrochloride	150mg	Gold	13621
Trazodone 100mg capsules (Mylan)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	19181
Trazodone 50mg capsules (Mylan)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	29339
Trazodone 150mg tablets (Teva UK Ltd)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	29857
Trazodone 150mg tablets (Mylan)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	30983
Trazodone 50mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	34003
Trazodone 50mg capsules (Zentiva)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	34421
Trazodone 150mg tablets (Zentiva)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	34470
Trazodone 100mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	34580
Trazodone 50mg capsules (Teva UK Ltd)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	41609
Trazodone 100mg capsules (Teva UK Ltd)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	41709
Trazodone 100mg capsules (Zentiva)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	41710
Trazodone 150mg/5ml oral suspension	Oral suspension	Oral	Trazodone hydrochloride	30mg/1ml	Gold	55137
Trazodone 250mg/5ml oral solution	Oral solution	Oral	Trazodone hydrochloride	50mg/1ml	Gold	55138
Trazodone 25mg/5ml oral suspension	Oral suspension	Oral	Trazodone hydrochloride	5mg/1ml	Gold	57226
Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Oral solution	Oral	Trazodone hydrochloride	10mg/1ml	Gold	59931
Trazodone 75mg/5ml oral solution	Oral solution	Oral	Trazodone hydrochloride	15mg/1ml	Gold	61657
Trazodone 50mg/5ml oral solution	Oral solution	Oral	Trazodone hydrochloride	10mg/1ml	Gold	61842
Trazodone 100mg/5ml oral solution	Oral solution	Oral	Trazodone hydrochloride	20mg/1ml	Gold	65152
Trazodone 10mg/5ml oral solution	Oral solution	Oral	Trazodone hydrochloride	2mg/1ml	Gold	66749
Trazodone Oral solution	Oral Solution		Trazodone Hydrochloride		Gold	69355
Trazodone 50mg/5ml oral solution sugar free (AMCo)	Oral solution	Oral	Trazodone hydrochloride	10mg/1ml	Gold	70521
Trazodone 50mg capsules (Actavis UK Ltd)	Capsule	Oral	Trazodone hydrochloride	50mg	Gold	71031
Trazodone 100mg/5ml oral solution sugar free	Oral solution	Oral	Trazodone hydrochloride	20mg/1ml	Gold	72291
Trazodone 150mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	73419
Trazodone 150mg tablets (Actavis UK Ltd)	Tablet	Oral	Trazodone hydrochloride	150mg	Gold	73636
Trazodone 100mg capsules (Actavis UK Ltd)	Capsule	Oral	Trazodone hydrochloride	100mg	Gold	73639
Tryptophan 500mg tablets	Tablet	Oral	Tryptophan	500.000mg	Aurum	1474141000033117
Optimax 500mg tablets	Tablet	Oral	Tryptophan	500.000mg	Aurum	1008941000033114
Tryptophan 500mg capsules	Capsule	Oral	Tryptophan	500.000mg	Aurum	8247941000033115
Optimax 500mg capsules	Capsule		Tryptophan	500.000mg	Aurum	8248041000033117
Tryptophan 500mg tablets	Tablet	Oral	Tryptophan	500mg	Gold	4422
Optimax 500mg tablets (Intrapharm Laboratories Ltd)	Tablet	Oral	Tryptophan	500mg	Gold	5611
Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd)	Tablet	Oral	Tryptophan	500mg	Gold	12221
Optimax wv Tablet (E. Merck)	Tablet	Oral	Tryptophan	500mg	Gold	20504
Tryptophan 500mg capsules	Capsule	Oral	Tryptophan	500mg	Gold	54686
Optimax 500mg capsules (Intrapharm Laboratories Ltd)	Capsule	Oral	Tryptophan	500mg	Gold	54747
Venlafaxine 37.5mg tablets	Tablet	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	1512241000033119
Efexor 37.5mg tablets	Tablet	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	499041000033111
ViePax 37.5mg tablets	Tablet	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	4897041000033116
ViePax 75mg tablets	Tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4896941000033117
Efexor 75mg tablets	Tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	499141000033110
Venlafaxine 75mg tablets	Tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	1512341000033112
Venlafaxine 50mg tablets	Tablet	Oral	Venlafaxine hydrochloride	50.000mg	Aurum	1512441000033118
Efexor 50mg tablets	Tablet	Oral	Venlafaxine hydrochloride	50.000mg	Aurum	499241000033115
Bonilux XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	8265541000033112
Amphero XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	9300741000033116
Vencarm XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	12194841000033116
Venlasov XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	12389941000033119
Venzip XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	12641641000033114
Efexor XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	498441000033112
Venlafaxine 75mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	1509341000033117
Vexarin XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4896841000033113
Vensir XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4899541000033115
Tifaxin XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4817741000033119
Winfex XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4824641000033113
Trixat XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4818641000033112
Tardcaps XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4897141000033117
Vaxalin XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4937041000033115
Venaxx XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4936641000033111
Politid XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4957841000033111
Rodomel XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4817441000033114
Foraven XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5234041000033119
Venlaneo XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	6029741000033113
Ranfaxine XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5328941000033119
Alventa XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5813341000033119
Venlablue XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5812541000033115
Tonpular XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5574641000033117
Depefex XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5896341000033112
Mentaven XL 75mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5889541000033114
Amphero XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	9300841000033114
Bonilux XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	8265641000033113
Venzip XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	12641541000033113
Venlasov XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	12390341000033114
Vencarm XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	12194541000033118
Mentaven XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5889641000033110
Tonpular XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5574741000033114
Venlablue XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5812641000033119
Alventa XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5813141000033117
Ranfaxine XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5329041000033111
