medcode	readcode	readterm	condition	score
72127	B484.00	malignant neoplasm of epididymis	Any malignancy	2
72174	B4A4.00	malignant neoplasm of paraurethral glands	Any malignancy	2
7219	B141.11	carcinoma of rectum	Any malignancy	2
72192	BB5Xz00	[m]clear cell adenoma or adenocarcinoma nos	Any malignancy	2
72196	BBgG.00	"[m]malignant lymphoma, lymphocytic, poorly different nos"	Any malignancy	2
72197	B67y000	lymphosarcoma cell leukaemia	Any malignancy	2
72212	B308200	malignant neoplasm of calcaneum	Any malignancy	2
72224	B1z1100	fibrosarcoma of spleen	Any malignancy	2
72241	BBgH.00	[m]prolymphocytic lymphosarcoma	Any malignancy	2
72277	BB5V700	[m]basophil carcinoma	Any malignancy	2
72288	M210z00	circumscribed scleroderma nos	Rheumatic disease	1
7229	663W.00	asthma prophylactic medication used	Chronic pulmonary disease	1
72303	K01w000	finnish nephrosis syndrome	Renal disease	2
72320	C109A00	non-insulin dependent diabetes mellitus with mononeuropathy	Diabetes with end-organ damage	2
72333	8HME.00	listed for diabetology admissn	Diabetes (uncomplicated)	1
72336	Z919100	priming haemodialysis lines	Renal disease	2
72345	C102z00	diabetes mellitus nos with hyperosmolar coma	Diabetes (uncomplicated)	1
72386	9Or4.00	heart failure monitoring second letter	Congestive heart failure	1
72433	BBh0.00	[m]reticulosarcoma nos	Any malignancy	2
72443	BBZ2.00	"[m]odontogenic tumour, malignant"	Any malignancy	2
72445	B161000	malignant neoplasm of cystic duct	Any malignancy	2
72448	7A41200	emerg bypass iliac artery by femoral/femoral art anast nec	Peripheral vascular disease	1
72464	B305.12	malignant neoplasm of metacarpal bones	Any malignancy	2
72478	Kyu1400	[x]nephropathy induced by other drugs+biological substances	Renal disease	2
72522	B313200	malignant neoplasm of great vessels	Any malignancy	2
72562	G353.00	subsequent myocardial infarction of other sites	Myocardial infarction	1
72621	Kyu1100	[x]other and unspecified hydronephrosis	Renal disease	2
72668	G210100	malignant hypertensive heart disease with ccf	Congestive heart failure	1
72695	ByuFA00	[x]carcinoma in situ of other parts of cervix	Any malignancy	2
72702	C10E812	insulin dependent diabetes mellitus - poor control	Diabetes (uncomplicated)	1
72713	B562100	secondary and unspec malig neop superficial mesenteric ln	Metastatic solid tumour	4
72714	B621500	mycosis fungoides of lymph nodes of inguinal region and leg	Any malignancy	2
72723	B430000	malignant neoplasm of cornu of corpus uteri	Any malignancy	2
72725	B62y200	malignant lymphoma nos of intrathoracic lymph nodes	Any malignancy	2
72803	B565z00	secondary and unspec malig neop intrapelvic ln nos	Metastatic solid tumour	4
72947	B802100	carcinoma in situ of fundus of stomach	Any malignancy	2
72962	9Ot1.00	chronic kidney disease monitoring second letter	Renal disease	2
72964	9Ot2.00	chronic kidney disease monitoring third letter	Renal disease	2
72965	9Or3.00	heart failure monitoring first letter	Congestive heart failure	1
73026	K0A3500	chronic neph syn difus mesangiocapillary glomerulonephritis	Renal disease	2
73065	C370y00	cystic fibrosis with other manifestations	Chronic pulmonary disease	1
73076	B810700	carcinoma in situ of vestibular fold	Any malignancy	2
73139	G852100	oesophageal varices without bleeding in diseases ec	Moderate or severe liver disease	3
73164	B808400	carcinoma in situ of cystic duct	Any malignancy	2
7319	BB9G.00	[m]infiltrating ductular carcinoma	Any malignancy	2
7321	H541z00	pulmonary oedema nos	Chronic pulmonary disease	1
73213	B581.00	secondary malignant neoplasm of other urinary organs	Metastatic solid tumour	4
7323	E000.00	uncomplicated senile dementia	Dementia	1
73238	Nyu6100	[x]other specified inflammatory spondylopathies	Rheumatic disease	1
73251	BBEM.00	[m]malignant melanoma in giant pigmented naevus	Any malignancy	2
73261	ByuFF00	"[x]melanoma in situ, unspecified"	Any malignancy	2
73275	BB5N100	[m]adenocarcinoma in adenomatous polposis coli	Any malignancy	2
7328	M037200	cellulitis in diabetic foot	Diabetes (uncomplicated)	1
73296	Byu3100	"[x]malignant neoplasm/bones+articular cartilage/limb,unspfd"	Any malignancy	2
733	7A54000	percutaneous transluminal angioplasty of artery nec	Peripheral vascular disease	1
73338	J11y000	unspecified gastric ulcer without mention of complication	Peptic ulcer disease	1
73408	SLF7z00	antiasthmatic poisoning nos	Chronic pulmonary disease	1
73414	H44z.00	pneumopathy due to inhalation of other dust nos	Chronic pulmonary disease	1
73417	J120400	acute duodenal ulcer with obstruction	Peptic ulcer disease	1
73434	BB5L300	[m]adenocarcinoma in multiple adenomatous polyps	Any malignancy	2
73439	B064z00	malignant neoplasm of anterior epiglottis nos	Any malignancy	2
73482	J615D00	bacterial portal cirrhosis	Mild liver disease	1
73485	M210000	unspecified circumscribed scleroderma	Rheumatic disease	1
73510	B550500	malignant neoplasm of supraclavicular fossa nos	Any malignancy	2
73522	173d.00	work aggravated asthma	Chronic pulmonary disease	1
73530	B305.00	malignant neoplasm of hand bones	Any malignancy	2
73532	B613300	"hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"	Any malignancy	2
73536	B327000	malignant melanoma of hip	Any malignancy	2
73538	B563z00	secondary and unspec malig neop axilla and upper limb ln nos	Metastatic solid tumour	4
73556	B305z00	malignant neoplasm of hand bones nos	Any malignancy	2
73614	B004000	"malignant neoplasm of lip unspecified, buccal aspect"	Any malignancy	2
73616	B58y200	secondary malignant neoplasm of cervix uteri	Metastatic solid tumour	4
73619	N040G00	rheumatoid arthritis of subtalar joint	Rheumatic disease	1
73662	BB5Wz00	[m]oxyphilic adenoma or adenocarcinoma nos	Any malignancy	2
73697	J11y400	unspecified gastric ulcer with obstruction	Peptic ulcer disease	1
73744	B322z00	malignant melanoma of ear and external auricular canal nos	Any malignancy	2
73760	B334z00	malignant neoplasm of scalp or skin of neck nos	Any malignancy	2
73777	B624z00	leukaemic reticuloendotheliosis nos	Any malignancy	2
7378	663U.00	asthma management plan given	Chronic pulmonary disease	1
73788	S114500	closed spinal fracture with cauda equina lesion	Hemiplegia or paraplegia	2
73901	Gyu6.00	[x]cerebrovascular diseases	Cerebrovascular disease	1
73916	BBK0400	[m]epithelioid leiomyosarcoma	Any malignancy	2
73943	F137.11	athetoid cerebral palsy	Hemiplegia or paraplegia	2
73961	Gyu7400	[x]other specified peripheral vascular diseases	Peripheral vascular disease	1
73962	B000.00	"malignant neoplasm of upper lip, vermilion border"	Any malignancy	2
73988	B524500	malignant neoplasm of peripheral nerve of pelvis	Any malignancy	2
73992	B504.00	malignant neoplasm of cornea	Any malignancy	2
7416	663N.00	asthma disturbing sleep	Chronic pulmonary disease	1
7473	B8...00	carcinoma in situ	Any malignancy	2
7483	BBE1.12	[m]melanoma nos	Any malignancy	2
74896	B161z00	malignant neoplasm of extrahepatic bile ducts nos	Any malignancy	2
74905	Z1A2.00	haemodialysis training	Renal disease	2
7563	66A3.00	diabetic on diet only	Diabetes (uncomplicated)	1
7572	F116.00	lewy body disease	Dementia	1
758	C10F.00	type 2 diabetes mellitus	Diabetes (uncomplicated)	1
7593	H51y700	malignant pleural effusion	Any malignancy	2
7602	J617000	chronic alcoholic hepatitis	Mild liver disease	1
7654	B585.00	secondary malignant neoplasm of bone and bone marrow	Metastatic solid tumour	4
7664	Eu00.00	[x]dementia in alzheimer's disease	Dementia	1
7693	BBE..00	[m]naevi and melanomas	Any malignancy	2
7697	B810800	carcinoma in situ of vocal fold - glottis	Any malignancy	2
7731	H330.14	pollen asthma	Chronic pulmonary disease	1
7761	1425000	h/o malignant melanoma	Any malignancy	2
7780	G667.00	left sided cva	Cerebrovascular disease	1
7783	323..00	ecg: myocardial infarction	Myocardial infarction	1
779	B49..00	malignant neoplasm of urinary bladder	Any malignancy	2
7791	H55..00	postinflammatory pulmonary fibrosis	Chronic pulmonary disease	1
7795	C106.12	diabetes mellitus with neuropathy	Diabetes with end-organ damage	2
78	H33..00	asthma	Chronic pulmonary disease	1
780	B46..00	malignant neoplasm of prostate	Any malignancy	2
7804	K02..00	chronic glomerulonephritis	Renal disease	2
7805	B440.00	malignant neoplasm of ovary	Any malignancy	2
7830	B56..11	lymph node metastases	Metastatic solid tumour	4
7833	B830.00	carcinoma in situ of breast	Any malignancy	2
7856	BBJH.00	[m]dedifferentiated liposarcoma	Any malignancy	2
7871	N000.00	systemic lupus erythematosus	Rheumatic disease	1
7884	H3y1.00	"chron obstruct pulmonary dis wth acute exacerbation, unspec"	Chronic pulmonary disease	1
7900	142..12	h/o: carcinoma	Any malignancy	2
7904	B832000	carcinoma in situ of endometrium	Any malignancy	2
7912	G614.00	pontine haemorrhage	Cerebrovascular disease	1
794	H32..00	emphysema	Chronic pulmonary disease	1
7940	ByuDF11	[x]non-hodgkin's lymphoma nos	Any malignancy	2
7941	BBW4.00	[m]chondrosarcoma nos	Any malignancy	2
7943	J617.00	alcoholic hepatitis	Mild liver disease	1
7957	J614111	autoimmune chronic active hepatitis	Mild liver disease	1
7975	16I..00	claudication distance	Peripheral vascular disease	1
7982	B161200	malignant neoplasm of common bile duct	Any malignancy	2
8032	BB5B.00	[m]pancreatic adenomas and carcinomas	Any malignancy	2
8037	7L1B000	insertion of ambulatory peritoneal dialysis catheter	Renal disease	2
8085	BBF1.00	[m]sarcoma nos	Any malignancy	2
8088	BBG3.00	[m]fibromyxosarcoma	Any malignancy	2
81	663..11	asthma monitoring	Chronic pulmonary disease	1
8101	BB5a.00	[m]renal adenoma and carcinoma	Any malignancy	2
8154	B576200	malignant ascites	Metastatic solid tumour	4
8166	B17..00	malignant neoplasm of pancreas	Any malignancy	2
8177	B836000	carcinoma in situ of testis	Any malignancy	2
8181	S628.00	traumatic subdural haemorrhage	Cerebrovascular disease	1
8195	Eu00z11	[x]alzheimer's dementia unspec	Dementia	1
8206	C350012	pigmentary cirrhosis of liver	Mild liver disease	1
8244	B801.00	carcinoma in situ of oesophagus	Any malignancy	2
82474	8Hl4.00	referral to community diabetes specialist nurse	Diabetes (uncomplicated)	1
8281	A789A00	hiv disease resulting in wasting syndrome	HIV/AIDS	4
8282	2836	o/e - quadriplegia	Hemiplegia or paraplegia	2
8303	H41..00	asbestosis	Chronic pulmonary disease	1
8306	8H7f.00	referral to diabetes nurse	Diabetes (uncomplicated)	1
8317	H58y300	interstitial lung disease nec	Chronic pulmonary disease	1
8330	K0D..00	end-stage renal disease	Renal disease	2
8335	H33z111	asthma attack nos	Chronic pulmonary disease	1
8350	N040T00	flare of rheumatoid arthritis	Rheumatic disease	1
83502	662p.00	heart failure 6 month review	Congestive heart failure	1
8351	BB91.00	[m]infiltrating duct carcinoma	Any malignancy	2
83513	7L1C.00	placement other apparatus for compensation for renal failure	Renal disease	2
83527	7A1B300	endovascular stenting of aortic dissection in any position	Peripheral vascular disease	1
83532	66Ao.00	diabetes type 2 review	Diabetes (uncomplicated)	1
8355	9OJA.11	asthma monitored	Chronic pulmonary disease	1
83576	9Ou2.00	dementia monitoring second letter	Dementia	1
83577	7A1C000	endovas ins stent graft for infrarenal abdom aortic aneurysm	Peripheral vascular disease	1
8363	G852300	oesophageal varices in alcoholic cirrhosis of the liver	Moderate or severe liver disease	3
8386	B11..00	malignant neoplasm of stomach	Any malignancy	2
8403	C109700	non-insulin dependent diabetes mellitus - poor control	Diabetes (uncomplicated)	1
8414	8CA4100	pt advised re diabetic diet	Diabetes (uncomplicated)	1
84368	B565000	secondary and unspec malig neop internal iliac lymph nodes	Metastatic solid tumour	4
844	N040.00	rheumatoid arthritis	Rheumatic disease	1
8443	G663.00	brain stem stroke syndrome	Cerebrovascular disease	1
8459	2992.11	o/e - spastic gait	Hemiplegia or paraplegia	2
8492	F22z.00	hemiplegia nos	Hemiplegia or paraplegia	2
8550	B542000	malignant neoplasm of pituitary gland	Any malignancy	2
85659	K0A2800	iga nephropathy	Renal disease	2
85660	66An.00	diabetes type 1 review	Diabetes (uncomplicated)	1
8583	N042000	rheumatic carditis	Rheumatic disease	1
85853	9Ou..00	dementia monitoring administration	Dementia	1
85989	J126.00	non steroidal anti inflammatory drug induced duodenal ulcer	Peptic ulcer disease	1
85991	C10FM11	type ii diabetes mellitus with persistent microalbuminuria	Diabetes with end-organ damage	2
8600	1D18.00	pain from metastases	Metastatic solid tumour	4
86046	B524400	malignant neoplasm of peripheral nerve of abdomen	Any malignancy	2
8606	BB5j.00	[m]endometrioid adenomas and carcinomas	Any malignancy	2
86065	7A5Bz00	other transluminal embolisation of aneurysm nos	Peripheral vascular disease	1
8607	K0C0.00	analgesic nephropathy	Renal disease	2
8618	ZLA2500	seen by diabetic liaison nurse	Diabetes (uncomplicated)	1
8627	BB07.00	"[m]tumour cells, malignant"	Any malignancy	2
8634	E004.11	multi infarct dementia	Dementia	1
8640	7G03J00	excision of melanoma	Any malignancy	2
86419	4N2..00	dialysis fluid glucose level	Renal disease	2
8647	B825000	carcinoma in situ of skin of breast	Any malignancy	2
8649	ByuDF00	"[x]non-hodgkin's lymphoma, unspecified type"	Any malignancy	2
865	B32..00	malignant melanoma of skin	Any malignancy	2
8660	BBV1.00	[m]osteosarcoma nos	Any malignancy	2
86812	B305D00	malignant neoplasm of phalanges of hand	Any malignancy	2
86820	BBP7.00	"[m]mesothelioma, biphasic type, malignant"	Any malignancy	2
8693	B5...11	carcinoma of other and unspecified sites	Any malignancy	2
8695	BB12.00	[m]carcinoma nos	Any malignancy	2
86996	B501000	malignant neoplasm of connective tissue of orbit	Any malignancy	2
86997	Byu2400	[x]malignant neoplasm/ill-defined sites within resp system	Any malignancy	2
87003	BBLC100	"[m]mesenchymoma, malignant"	Any malignancy	2
8711	BB5D100	[m]cholangiocarcinoma	Any malignancy	2
87113	B54X.00	"malignant neoplasm-pluriglandular involvement,unspecified"	Any malignancy	2
876	B33..11	basal cell carcinoma	Any malignancy	2
8771	B170.00	malignant neoplasm of head of pancreas	Any malignancy	2
8801	M271400	mixed venous and arterial leg ulcer	Peripheral vascular disease	1
88022	ByuC400	[x]secondary malignant neoplasm/oth+unspcfd digestive organs	Metastatic solid tumour	4
88144	B52y.00	malignant neoplasm of other specified part of nervous system	Any malignancy	2
8828	14D1.00	h/o: nephritis	Renal disease	2
8836	66AR.00	diabetes management plan given	Diabetes (uncomplicated)	1
88362	B08y.00	malignant neoplasm of other specified hypopharyngeal site	Any malignancy	2
8837	G64..00	cerebral arterial occlusion	Cerebrovascular disease	1
884	G581.00	left ventricular failure	Congestive heart failure	1
8842	66A5.00	diabetic on insulin	Diabetes (uncomplicated)	1
88494	9Ot3.00	chronic kidney disease monitoring verbal invite	Renal disease	2
88597	7L1A400	automated peritoneal dialysis	Renal disease	2
88788	7A59.00	transluminal balloon assisted coil embolisation of aneurysm	Peripheral vascular disease	1
89023	J113.00	non steroidal anti inflammatory drug induced gastric ulcer	Peptic ulcer disease	1
89036	9Ou3.00	dementia monitoring third letter	Dementia	1
89037	9Ou4.00	dementia monitoring verbal invite	Dementia	1
8918	B15..00	malignant neoplasm of liver and intrahepatic bile ducts	Any malignancy	2
8919	K08..00	impaired renal function disorder	Renal disease	2
89205	43h9.00	hiv proviral deoxyribonucleic acid polymerase chain reaction	HIV/AIDS	4
89206	H423.00	massive silicotic fibrosis	Chronic pulmonary disease	1
89227	J112z00	anti-platelet induced gastric ulcer nos	Peptic ulcer disease	1
89230	BBj9.00	[m]hodgkin's granuloma	Any malignancy	2
89234	J125.00	anti-platelet induced duodenal ulcer	Peptic ulcer disease	1
89258	B524200	"malignant neoplasm of peripheral nerve of low limb, incl hip"	Any malignancy	2
8930	BB52.00	[m]adenocarcinoma nos	Any malignancy	2
8933	F222.00	left hemiplegia	Hemiplegia or paraplegia	2
8934	Eu01200	[x]subcortical vascular dementia	Dementia	1
8935	G302.00	acute inferolateral infarction	Myocardial infarction	1
89456	7A5B.00	other transluminal embolisation of aneurysm	Peripheral vascular disease	1
89470	7A45700	emerg replace aneurysm pop art by pop/tib anast c vein graft	Peripheral vascular disease	1
8958	B8yy000	carcinoma in situ of thyroid gland	Any malignancy	2
89587	A704z00	other specified viral hepatitis with hepatic coma nos	Moderate or severe liver disease	3
89593	B151200	malignant neoplasm of intrahepatic biliary passages	Any malignancy	2
89650	9Or5.00	heart failure monitoring third letter	Congestive heart failure	1
8966	G5yy900	left ventricular systolic dysfunction	Congestive heart failure	1
89714	7A1C300	endov ins stent graft for aortic dissection in any position	Peripheral vascular disease	1
899	J633.00	hepatitis unspecified	Mild liver disease	1
89909	B003200	"malignant neoplasm of lower lip, mucosa"	Any malignancy	2
89916	B553100	malignant neoplasm of presacral region	Any malignancy	2
90124	B067.00	malignant neoplasm of posterior wall of oropharynx	Any malignancy	2
9013	66AJ.11	unstable diabetes	Diabetes (uncomplicated)	1
9018	663y.00	number of asthma exacerbations in past year	Chronic pulmonary disease	1
90192	9Or2.00	heart failure monitoring verbal invite	Congestive heart failure	1
90193	9Or1.00	heart failure monitoring telephone invite	Congestive heart failure	1
90201	B62x000	t-zone lymphoma	Any malignancy	2
9029	J614100	chronic active hepatitis	Mild liver disease	1
90290	B18y700	malignant neoplasm of mesentery	Any malignancy	2
9030	B55..00	malignant neoplasm of other and ill-defined sites	Any malignancy	2
90339	B826z00	carcinoma in situ of skin of upper limb or shoulder nos	Any malignancy	2
90520	Fyu9000	[x]other infantile cerebral palsy	Hemiplegia or paraplegia	2
90572	Gyu6500	[x]occlusion and stenosis of other precerebral arteries	Cerebrovascular disease	1
90610	B002300	"malignant neoplasm of upper lip, oral aspect"	Any malignancy	2
90659	B54y.00	malignant neoplasm of other specified endocrine gland	Any malignancy	2
90861	7A1Bz00	transluminal operations on aneurysmal segment of aorta nos	Peripheral vascular disease	1
9088	B130.00	malignant neoplasm of hepatic flexure of colon	Any malignancy	2
90935	9hH..00	exception reporting: heart failure quality indicators	Congestive heart failure	1
9099	7A47.00	other emergency bypass of femoral artery or popliteal artery	Peripheral vascular disease	1
9101	H52yz11	spontaneous pneumothorax nos	Chronic pulmonary disease	1
91035	B010z00	malignant neoplasm of fixed part of tongue nos	Any malignancy	2
91037	B06yz00	malignant neoplasm of other specified site of oropharynx nos	Any malignancy	2
91084	7A34D00	operation on aneurysm of superior mesenteric artery nec	Peripheral vascular disease	1
91164	ZRB4.11	csq - diabetes clinic satisfaction questionnaire	Diabetes (uncomplicated)	1
9118	B13z.11	colonic cancer	Any malignancy	2
91240	B517300	malignant neoplasm of pons	Any malignancy	2
91272	L440300	puerperal cerebrovascular disorder with antenatal comp	Cerebrovascular disease	1
91288	8Hg8.00	discharge from practice nurse heart failure clinic	Congestive heart failure	1
9130	A788.11	human immunodeficiency virus infection	HIV/AIDS	4
9145	9N4I.00	dna - did not attend diabetic clinic	Diabetes (uncomplicated)	1
91457	Byu5900	"[x]malignant neoplasm/connective + soft tissue,unspecified"	Any malignancy	2
91462	7A1C200	endov insertion of stent graft for thoracic aortic aneurysm	Peripheral vascular disease	1
91509	B471z00	malignant neoplasm of descended testis nos	Any malignancy	2
91559	N003100	dermatopolymyositis in neoplastic disease	Rheumatic disease	1
9156	BB1K.00	[m]oat cell carcinoma	Any malignancy	2
91586	B311400	malignant neoplasm of connective and soft tissue of finger	Any malignancy	2
91591	J616200	biliary cirrhosis of children	Mild liver disease	1
91627	Gyu6300	[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	Cerebrovascular disease	1
91646	C10F411	type ii diabetes mellitus with ulcer	Diabetes with end-organ damage	2
91674	B621300	mycosis fungoides of intra-abdominal lymph nodes	Any malignancy	2
9172	BBmK.00	[m]waldenstrom's macroglobulinaemia	Any malignancy	2
91738	K0A5600	"hereditary nephropathy, nec, dense deposit disease"	Renal disease	2
91842	BB69z00	[m]sebaceous adenoma or adenocarcinoma nos	Any malignancy	2
91843	B003100	"malignant neoplasm of lower lip, frenulum"	Any malignancy	2
91887	7A5By00	other specified other transluminal embolisation of aneurysm	Peripheral vascular disease	1
91895	B064100	malignant neoplasm of glossoepiglottic fold	Any malignancy	2
91900	B61z400	hodgkin's disease nos of lymph nodes of axilla and arm	Any malignancy	2
91912	Hyu5100	[x]other specified interstitial pulmonary diseases	Chronic pulmonary disease	1
91942	C10E311	type i diabetes mellitus with multiple complications	Diabetes with end-organ damage	2
91943	C10EC11	type i diabetes mellitus with polyneuropathy	Diabetes with end-organ damage	2
91989	H35y000	cheese-washers' lung	Chronic pulmonary disease	1
92036	Gyu6600	[x]occlusion and stenosis of other cerebral arteries	Cerebrovascular disease	1
9204	G732.00	peripheral gangrene	Peripheral vascular disease	1
92068	B620300	nodular lymphoma of intra-abdominal lymph nodes	Any malignancy	2
92109	9NI8.00	asthma outreach clinic	Chronic pulmonary disease	1
92245	B613200	"hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"	Any malignancy	2
92293	BBES.00	"[m]spindle cell melanoma, type b"	Any malignancy	2
92329	B48yz00	malignant neoplasm of other male genital organ nos	Any malignancy	2
9237	B21z.00	malignant neoplasm of larynx nos	Any malignancy	2
92371	B304300	malignant neoplasm of radius	Any malignancy	2
92380	B602500	burkitt's lymphoma of lymph nodes of inguinal region and leg	Any malignancy	2
92382	B308B00	malignant neoplasm of fourth metatarsal bone	Any malignancy	2
9258	283..00	o/e - paralysis	Hemiplegia or paraplegia	2
9267	B812.00	carcinoma in situ of bronchus and lung	Any malignancy	2
92695	7612111	balfour excision of gastric ulcer	Peptic ulcer disease	1
92703	B560400	secondary and unspec malig neop deep parotid lymph nodes	Metastatic solid tumour	4
9271	F240.00	quadriplegia	Hemiplegia or paraplegia	2
92720	B243.00	malignant neoplasm of posterior mediastinum	Any malignancy	2
92886	SJ24000	closed injury cauda equina	Hemiplegia or paraplegia	2
92909	J615500	hypertrophic portal cirrhosis	Mild liver disease	1
9291	BB1J.00	[m]small cell carcinoma nos	Any malignancy	2
92925	7A11211	y graft of abdominal aortic aneurysm (emergency)	Peripheral vascular disease	1
92955	H32y000	acute vesicular emphysema	Chronic pulmonary disease	1
93060	7A13100	emerg replace aneurysm thor aorta by anastom aorta to aorta	Peripheral vascular disease	1
93083	7A5A.00	transluminal stent assisted coil embolisation of aneurysm	Peripheral vascular disease	1
93175	BBZ2.11	[m]intraosseous carcinoma	Any malignancy	2
93206	H353.00	suberosis ( cork-handlers' lung )	Chronic pulmonary disease	1
93218	B03z.00	malignant neoplasm of gum nos	Any malignancy	2
93352	B338.00	squamous cell carcinoma of skin	Any malignancy	2
93353	H35y600	sequoiosis (red-cedar asthma)	Chronic pulmonary disease	1
93372	F103.00	cerebral degeneration in diseases ec	Dementia	1
93380	C10N100	cystic fibrosis related diabetes mellitus	Diabetes (uncomplicated)	1
93384	B62z200	unspec malig neop lymphoid/histiocytic of intrathoracic node	Any malignancy	2
93390	9OLH.00	attended dafne diabetes structured education programme	Diabetes (uncomplicated)	1
93402	7G05D00	excision biopsy of basal cell carcinoma	Any malignancy	2
93436	J12y300	unspecified duodenal ulcer with haemorrhage and perforation	Peptic ulcer disease	1
93468	C10EG00	type 1 diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage	2
93478	B138.00	"malignant neoplasm, overlapping lesion of colon"	Any malignancy	2
93490	B33z.11	squamous cell carcinoma of skin nos	Any malignancy	2
93491	9OLJ.00	dafne diabetes structured education programme completed	Diabetes (uncomplicated)	1
93529	9OLK.00	desmond diabetes structured education programme completed	Diabetes (uncomplicated)	1
93537	B517200	malignant neoplasm of midbrain	Any malignancy	2
93568	H39..00	very severe chronic obstructive pulmonary disease	Chronic pulmonary disease	1
93577	H435.00	stannosis	Chronic pulmonary disease	1
93627	7A1Cz00	translum ins stent graft for aneurysmal segment of aorta nos	Peripheral vascular disease	1
93631	9OLL.00	xpert diabetes structured education programme completed	Diabetes (uncomplicated)	1
93639	388p.00	basdai - bath ankylosing spondylitis disease activity index	Rheumatic disease	1
93642	43w3.00	human immunodeficiency virus rna/dna ratio	HIV/AIDS	4
93657	8Hj4.00	referral to desmond diabetes structured education programme	Diabetes (uncomplicated)	1
93665	Byu5300	"[x]kaposi's sarcoma, unspecified"	Any malignancy	2
93704	8Hj3.00	referral to dafne diabetes structured education programme	Diabetes (uncomplicated)	1
93715	Nyu1100	[x]other seropositive rheumatoid arthritis	Rheumatic disease	1
93716	B561z00	secondary and unspec malig neop intrathoracic ln nos	Metastatic solid tumour	4
93727	C10FE11	type ii diabetes mellitus with diabetic cataract	Diabetes with end-organ damage	2
9375	F241100	spastic paraplegia	Hemiplegia or paraplegia	2
93762	B42..00	malignant neoplasm of placenta	Any malignancy	2
93778	B1z1z00	malignant neoplasm of spleen nos	Any malignancy	2
9379	K08y500	acute interstitial nephritis	Renal disease	2
93794	7A26D00	reconstruction of subclavian artery with vein graft	Peripheral vascular disease	1
93842	B062300	malignant neoplasm of palatopharyngeal arch	Any malignancy	2
93854	9OLM.00	diabetes structured education programme declined	Diabetes (uncomplicated)	1
93870	8Hj5.00	referral to xpert diabetes structured education programme	Diabetes (uncomplicated)	1
93875	C10E712	insulin dependent diabetes mellitus with retinopathy	Diabetes with end-organ damage	2
93878	C10E511	type i diabetes mellitus with ulcer	Diabetes with end-organ damage	2
93922	C104000	"diabetes mellitus, juvenile type, with renal manifestation"	Diabetes with end-organ damage	2
93951	B613500	"hodgkin's, lymphocytic-histiocytic pred inguinal and leg"	Any malignancy	2
93959	7A1B.00	transluminal operations on aneurysmal segment of aorta	Peripheral vascular disease	1
94005	B615z00	"hodgkin's disease, mixed cellularity nos"	Any malignancy	2
94011	9OLG.00	attended xpert diabetes structured education programme	Diabetes (uncomplicated)	1
94083	BB5P.00	[m]solid carcinoma nos	Any malignancy	2
94104	761Jy00	other specified operation on gastric ulcer	Peptic ulcer disease	1
94105	P7y0y00	other specified cerebrovascular anomaly	Cerebrovascular disease	1
94155	7A58z00	transluminal coil embolisation of aneurysm nos	Peripheral vascular disease	1
94186	9OLF.00	diabetes structured education programme completed	Diabetes (uncomplicated)	1
94220	B540100	malignant neoplasm of adrenal medulla	Any malignancy	2
94239	BBp1.00	[m]mast cell sarcoma	Any malignancy	2
94251	B00z100	"malignant neoplasm of lip, unspecified, lipstick area"	Any malignancy	2
94261	K00y100	acute exudative nephritis	Renal disease	2
94278	B110111	malignant neoplasm of gastro-oesophageal junction	Any malignancy	2
94279	B61z700	hodgkin's disease nos of spleen	Any malignancy	2
94286	BBG8.11	[m]congenital fibrosarcoma	Any malignancy	2
94330	8H4e.00	referral to diabetes special interest general practitioner	Diabetes (uncomplicated)	1
94331	7A1C.00	translum insert stent graft for aneurysmal segment of aorta	Peripheral vascular disease	1
94350	K032z00	nephritis unsp+membranoprolif glomerulonephritis lesion nos	Renal disease	2
94355	B55y200	malignant neoplasm of flank nos	Any malignancy	2
94373	K01y.00	nephrotic syndrome with other pathological kidney lesions	Renal disease	2
94383	C10N000	secondary diabetes mellitus without complication	Diabetes (uncomplicated)	1
94390	B070.00	malignant neoplasm of roof of nasopharynx	Any malignancy	2
94397	J11yy00	unspec gastric ulcer; unspec haemorrhage and/or perforation	Peptic ulcer disease	1
94407	B615100	"hodgkin's mixed cellularity of lymph nodes head, face, neck"	Any malignancy	2
94408	G720z00	aneurysm of arm artery nos	Peripheral vascular disease	1
94415	B623100	"malignant histiocytosis of lymph nodes head, face and neck"	Any malignancy	2
94427	B305C00	malignant neoplasm of fifth metacarpal bone	Any malignancy	2
94438	BB85z00	[m]signet ring carcinoma nos	Any malignancy	2
9444	ZV10400	[v]personal history of malignant neoplasm of genital organ	Any malignancy	2
94441	B003300	"malignant neoplasm of lower lip, oral aspect"	Any malignancy	2
9447	BB5j200	[m]endometrioid carcinoma	Any malignancy	2
94482	Gyu6G00	[x]cereb infarct due unsp occlus/stenos precerebr arteries	Cerebrovascular disease	1
94486	H593.00	chronic type 2 respiratory failure	Chronic pulmonary disease	1
9454	G72..00	other aneurysm	Peripheral vascular disease	1
94556	7A46y00	other replacement of aneurysmal femoral/popliteal artery os	Peripheral vascular disease	1
94575	H433.00	graphite fibrosis of lung	Chronic pulmonary disease	1
