medcode	readcode	readterm	condition
91164	ZRB4.11	csq - diabetes clinic satisfaction questionnaire	Diabetes (uncomplicated)
9118	B13z.11	colonic cancer	Solid tumour or leukaemia
91240	B517300	malignant neoplasm of pons	Solid tumour or leukaemia
91256	1TD3.00	previous history of opiate misuse	Drug abuse
91260	E249000	"combined drug dependence, excluding opioid, unspecified"	Drug abuse
91272	L440300	puerperal cerebrovascular disorder with antenatal comp	Other neurological disorders
91277	9HC5.00	substance misuse treatment programme completed	Drug abuse
91288	8Hg8.00	discharge from practice nurse heart failure clinic	Congestive heart failure
9130	A788.11	human immunodeficiency virus infection	HIV/AIDS
9145	9N4I.00	dna - did not attend diabetic clinic	Diabetes (uncomplicated)
91457	Byu5900	"[x]malignant neoplasm/connective + soft tissue,unspecified"	Solid tumour or leukaemia
91462	7A1C200	endov insertion of stent graft for thoracic aortic aneurysm	Peripheral vascular disease
91509	B471z00	malignant neoplasm of descended testis nos	Solid tumour or leukaemia
91511	Eu21.11	[x]latent schizophrenic reaction	Psychoses
91547	Eu20311	[x]atypical schizophrenia	Psychoses
91559	N003100	dermatopolymyositis in neoplastic disease	Rheumatoid arthritis and collagen diseases
9156	BB1K.00	[m]oat cell carcinoma	Solid tumour or leukaemia
91586	B311400	malignant neoplasm of connective and soft tissue of finger	Solid tumour or leukaemia
91591	J616200	biliary cirrhosis of children	Liver disease
91627	Gyu6300	[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	Other neurological disorders
91646	C10F411	type ii diabetes mellitus with ulcer	Diabetes with end-organ damage
91674	B621300	mycosis fungoides of intra-abdominal lymph nodes	Lymphoma
9172	BBmK.00	[m]waldenstrom's macroglobulinaemia	Lymphoma
91738	K0A5600	"hereditary nephropathy, nec, dense deposit disease"	Renal disease
9179	F151.00	spinal muscular atrophy	Other neurological disorders
91801	Eu11z00	[x]ment & behav dis due use opioids: unsp ment & behav dis	Drug abuse
91802	7919500	percutaneous transluminal pulmonary valve perfor dilation	Valvular disease
9183	E11z200	masked depression	Depression
91842	BB69z00	[m]sebaceous adenoma or adenocarcinoma nos	Solid tumour or leukaemia
91843	B003100	"malignant neoplasm of lower lip, frenulum"	Solid tumour or leukaemia
91848	1T33.00	previous history of benzodiazepine misuse	Drug abuse
91887	7A5By00	other specified other transluminal embolisation of aneurysm	Peripheral vascular disease
91895	B064100	malignant neoplasm of glossoepiglottic fold	Solid tumour or leukaemia
91900	B61z400	hodgkin's disease nos of lymph nodes of axilla and arm	Lymphoma
91912	Hyu5100	[x]other specified interstitial pulmonary diseases	Chronic pulmonary disease
91939	9HC4.00	substance misuse treatment withdrawn	Drug abuse
91942	C10E311	type i diabetes mellitus with multiple complications	Diabetes with end-organ damage
91943	C10EC11	type i diabetes mellitus with polyneuropathy	Diabetes with end-organ damage
91989	H35y000	cheese-washers' lung	Chronic pulmonary disease
92036	Gyu6600	[x]occlusion and stenosis of other cerebral arteries	Other neurological disorders
9204	G732.00	peripheral gangrene	Peripheral vascular disease
92068	B620300	nodular lymphoma of intra-abdominal lymph nodes	Lymphoma
92070	7911411	aortic valve repair nec	Valvular disease
92106	D01yz00	other specified nutritional deficiency anaemia nos	Deficiency anaemia
92109	9NI8.00	asthma outreach clinic	Chronic pulmonary disease
9211	Eu32100	[x]moderate depressive episode	Depression
92226	791D000	tricuspid valvectomy	Valvular disease
92232	1T30.00	h/o daily benzodiazepine misuse	Drug abuse
92245	B613200	"hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"	Lymphoma
92291	Eu16z00	[x]ment/behav dis due use hallucinogens: unsp ment/behav dis	Drug abuse
92293	BBES.00	"[m]spindle cell melanoma, type b"	Solid tumour or leukaemia
92297	A932200	syphilitic endocarditis of aortic valve	Valvular disease
92329	B48yz00	malignant neoplasm of other male genital organ nos	Solid tumour or leukaemia
92341	R20z.00	"[d]senility, without psychosis nos"	Psychoses
92353	E245000	"hallucinogen dependence, unspecified"	Drug abuse
92359	1T21.00	h/o weekly ecstasy misuse	Drug abuse
9237	B21z.00	malignant neoplasm of larynx nos	Solid tumour or leukaemia
92371	B304300	malignant neoplasm of radius	Solid tumour or leukaemia
92380	B602500	burkitt's lymphoma of lymph nodes of inguinal region and leg	Lymphoma
92382	B308B00	malignant neoplasm of fourth metatarsal bone	Solid tumour or leukaemia
92404	1T10.00	h/o daily methadone misuse	Drug abuse
9258	283..00	o/e - paralysis	Paralysis
9267	B812.00	carcinoma in situ of bronchus and lung	Solid tumour or leukaemia
92694	F037000	varicella transverse myelitis	Other neurological disorders
92695	7612111	balfour excision of gastric ulcer	Peptic ulcer disease
92703	B560400	secondary and unspec malig neop deep parotid lymph nodes	Metastatic cancer
9271	F240.00	quadriplegia	Paralysis
92720	B243.00	malignant neoplasm of posterior mediastinum	Solid tumour or leukaemia
9273	Z416.00	substance abuse counselling	Drug abuse
9281	E103z00	paranoid schizophrenia nos	Psychoses
9286	G140413	"tricuspid regurgitation, cause unspecified"	Valvular disease
92886	SJ24000	closed injury cauda equina	Paralysis
92909	J615500	hypertrophic portal cirrhosis	Liver disease
9291	BB1J.00	[m]small cell carcinoma nos	Solid tumour or leukaemia
92925	7A11211	y graft of abdominal aortic aneurysm (emergency)	Peripheral vascular disease
92955	H32y000	acute vesicular emphysema	Chronic pulmonary disease
92993	1T32.00	h/o infrequent benzodiazepine misuse	Drug abuse
92994	E10y.11	cenesthopathic schizophrenia	Psychoses
93060	7A13100	emerg replace aneurysm thor aorta by anastom aorta to aorta	Peripheral vascular disease
93083	7A5A.00	transluminal stent assisted coil embolisation of aneurysm	Peripheral vascular disease
93109	1T11.00	h/o weekly methadone misuse	Drug abuse
93113	G14021X	rheumatic tricuspid stenosis and regurgitation	Valvular disease
93114	G140200	rheumatic tricuspid stenosis and insufficiency	Valvular disease
93137	F144.00	cerebellar ataxia in diseases ec	Other neurological disorders
93158	7910000	allograft replacement of mitral valve	Valvular disease
93159	C03y100	congenital hypothyroidism without goitre	Hypothyroidism
93175	BBZ2.11	[m]intraosseous carcinoma	Solid tumour or leukaemia
93192	ZRhi.00	rust inventory of schizotypal cognitions	Psychoses
93193	1T73.00	previous history of hallucinogen misuse	Drug abuse
93206	H353.00	suberosis ( cork-handlers' lung )	Chronic pulmonary disease
93216	3296	ecg: partial a-v block - 3:1	Cardiac arrythmia
93218	B03z.00	malignant neoplasm of gum nos	Solid tumour or leukaemia
9326	8BIF.00	epilepsy medication review	Other neurological disorders
93263	1TA..00	h/o barbiturate misuse	Drug abuse
93323	C03z.11	congenital thyroid insufficiency	Hypothyroidism
93352	B338.00	squamous cell carcinoma of skin	Solid tumour or leukaemia
93353	H35y600	sequoiosis (red-cedar asthma)	Chronic pulmonary disease
93372	F103.00	cerebral degeneration in diseases ec	Other neurological disorders
93380	C10N100	cystic fibrosis related diabetes mellitus	Chronic pulmonary disease
93384	B62z200	unspec malig neop lymphoid/histiocytic of intrathoracic node	Lymphoma
93390	9OLH.00	attended dafne diabetes structured education programme	Diabetes (uncomplicated)
93402	7G05D00	excision biopsy of basal cell carcinoma	Solid tumour or leukaemia
93412	13cM.00	substance misuse	Drug abuse
93460	14AR.00	history of atrial flutter	Cardiac arrythmia
93468	C10EG00	type 1 diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage
93478	B138.00	"malignant neoplasm, overlapping lesion of colon"	Solid tumour or leukaemia
93482	7A6Ky00	other specified operations on individual pulmonary veins	Pulmonary circulation disorders
93485	791B200	operations on mitral subvalvar apparatus	Valvular disease
93490	B33z.11	squamous cell carcinoma of skin nos	Solid tumour or leukaemia
93491	9OLJ.00	dafne diabetes structured education programme completed	Diabetes (uncomplicated)
93528	1TB0.00	h/o daily major tranquilliser misuse	Drug abuse
93529	9OLK.00	desmond diabetes structured education programme completed	Diabetes (uncomplicated)
93537	B517200	malignant neoplasm of midbrain	Solid tumour or leukaemia
93554	1T01.00	h/o weekly heroin misuse	Drug abuse
93561	P601z00	congenital atresia of pulmonary valve nos	Valvular disease
93568	H39..00	very severe chronic obstructive pulmonary disease	Chronic pulmonary disease
93577	H435.00	stannosis	Chronic pulmonary disease
93627	7A1Cz00	translum ins stent graft for aneurysmal segment of aorta nos	Peripheral vascular disease
93631	9OLL.00	xpert diabetes structured education programme completed	Diabetes (uncomplicated)
93639	388p.00	basdai - bath ankylosing spondylitis disease activity index	Rheumatoid arthritis and collagen diseases
93642	43w3.00	human immunodeficiency virus rna/dna ratio	HIV/AIDS
93657	8Hj4.00	referral to desmond diabetes structured education programme	Diabetes (uncomplicated)
93665	Byu5300	"[x]kaposi's sarcoma, unspecified"	Solid tumour or leukaemia
93704	8Hj3.00	referral to dafne diabetes structured education programme	Diabetes (uncomplicated)
93715	Nyu1100	[x]other seropositive rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
93716	B561z00	secondary and unspec malig neop intrathoracic ln nos	Metastatic cancer
93727	C10FE11	type ii diabetes mellitus with diabetic cataract	Diabetes with end-organ damage
9375	F241100	spastic paraplegia	Paralysis
93762	B42..00	malignant neoplasm of placenta	Solid tumour or leukaemia
93774	1T31.00	h/o weekly benzodiazepine misuse	Drug abuse
93778	B1z1z00	malignant neoplasm of spleen nos	Solid tumour or leukaemia
9379	K08y500	acute interstitial nephritis	Renal disease
93794	7A26D00	reconstruction of subclavian artery with vein graft	Peripheral vascular disease
93842	B062300	malignant neoplasm of palatopharyngeal arch	Solid tumour or leukaemia
9385	F24y000	progressive supranuclear palsy	Other neurological disorders
93850	8HkF.00	referral to substance misuse service	Drug abuse
93854	9OLM.00	diabetes structured education programme declined	Diabetes (uncomplicated)
93870	8Hj5.00	referral to xpert diabetes structured education programme	Diabetes (uncomplicated)
93875	C10E712	insulin dependent diabetes mellitus with retinopathy	Diabetes with end-organ damage
93878	C10E511	type i diabetes mellitus with ulcer	Diabetes with end-organ damage
939	G54zz00	"endocarditis, valve unspecified, nos"	Valvular disease
93902	P103.00	spina bifida with hydrocephalus - closed	Other neurological disorders
9391	G120.00	rheumatic aortic stenosis	Valvular disease
93922	C104000	"diabetes mellitus, juvenile type, with renal manifestation"	Diabetes with end-organ damage
93924	7912.12	tricuspid valvuloplasty	Valvular disease
93945	A98yy13	gonococcal perihepatitis	Liver disease
93951	B613500	"hodgkin's, lymphocytic-histiocytic pred inguinal and leg"	Lymphoma
93959	7A1B.00	transluminal operations on aneurysmal segment of aorta	Peripheral vascular disease
9396	7918000	annuloplasty of mitral valve	Valvular disease
93968	791D.00	excision of valve of heart	Valvular disease
93979	8B2T.00	opioid antagonist therapy	Drug abuse
93980	8B2S.00	opioid agonist substitution therapy	Drug abuse
94001	Eu20y12	[x]schizophreniform disord nos	Psychoses
94005	B615z00	"hodgkin's disease, mixed cellularity nos"	Lymphoma
94011	9OLG.00	attended xpert diabetes structured education programme	Diabetes (uncomplicated)
94083	BB5P.00	[m]solid carcinoma nos	Solid tumour or leukaemia
94104	761Jy00	other specified operation on gastric ulcer	Peptic ulcer disease
94105	P7y0y00	other specified cerebrovascular anomaly	Other neurological disorders
94150	Fyu1000	[x]other hereditary ataxias	Other neurological disorders
94155	7A58z00	transluminal coil embolisation of aneurysm nos	Peripheral vascular disease
94186	9OLF.00	diabetes structured education programme completed	Diabetes (uncomplicated)
9422	Eu25.00	[x]schizoaffective disorders	Psychoses
94220	B540100	malignant neoplasm of adrenal medulla	Solid tumour or leukaemia
94237	C232.00	physical retardation due to protein-calorie malnutrition	Weight loss
94239	BBp1.00	[m]mast cell sarcoma	Lymphoma
94251	B00z100	"malignant neoplasm of lip, unspecified, lipstick area"	Solid tumour or leukaemia
94261	K00y100	acute exudative nephritis	Renal disease
94278	B110111	malignant neoplasm of gastro-oesophageal junction	Solid tumour or leukaemia
94279	B61z700	hodgkin's disease nos of spleen	Lymphoma
94286	BBG8.11	[m]congenital fibrosarcoma	Solid tumour or leukaemia
94299	E105200	chronic latent schizophrenia	Psychoses
94330	8H4e.00	referral to diabetes special interest general practitioner	Diabetes (uncomplicated)
94331	7A1C.00	translum insert stent graft for aneurysmal segment of aorta	Peripheral vascular disease
94345	7913z00	plastic repair of pulmonary valve nos	Valvular disease
94350	K032z00	nephritis unsp+membranoprolif glomerulonephritis lesion nos	Renal disease
94355	B55y200	malignant neoplasm of flank nos	Solid tumour or leukaemia
94373	K01y.00	nephrotic syndrome with other pathological kidney lesions	Renal disease
94383	C10N000	secondary diabetes mellitus without complication	Diabetes (uncomplicated)
94390	B070.00	malignant neoplasm of roof of nasopharynx	Solid tumour or leukaemia
94407	B615100	"hodgkin's mixed cellularity of lymph nodes head, face, neck"	Lymphoma
94408	G720z00	aneurysm of arm artery nos	Peripheral vascular disease
94415	B623100	"malignant histiocytosis of lymph nodes head, face and neck"	Lymphoma
94427	B305C00	malignant neoplasm of fifth metacarpal bone	Solid tumour or leukaemia
94436	E258z00	nondependent antidepressant type drug abuse nos	Drug abuse
94438	BB85z00	[m]signet ring carcinoma nos	Solid tumour or leukaemia
9444	ZV10400	[v]personal history of malignant neoplasm of genital organ	Solid tumour or leukaemia
94441	B003300	"malignant neoplasm of lower lip, oral aspect"	Solid tumour or leukaemia
9447	BB5j200	[m]endometrioid carcinoma	Solid tumour or leukaemia
94482	Gyu6G00	[x]cereb infarct due unsp occlus/stenos precerebr arteries	Other neurological disorders
94486	H593.00	chronic type 2 respiratory failure	Chronic pulmonary disease
9450	G540.14	mitral valve regurgitation	Valvular disease
94521	Gyu1100	[x]other rheumatic aortic valve diseases	Valvular disease
9454	G72..00	other aneurysm	Peripheral vascular disease
94540	Fyu2600	[x]other chorea	Other neurological disorders
94553	8HkG.00	referral to specialist alcohol treatment service	Alcohol abuse
94556	7A46y00	other replacement of aneurysmal femoral/popliteal artery os	Peripheral vascular disease
94575	H433.00	graphite fibrosis of lung	Chronic pulmonary disease
94604	Eu23214	[x]schizophrenic reaction	Psychoses
94670	136W.00	alcohol misuse	Alcohol abuse
94682	7A1C100	endovas insert of stent graft for suprarenal aortic aneurysm	Peripheral vascular disease
94686	8Hh1.00	self referral to substance misuse service	Drug abuse
94693	13r4.00	abstinent from drug misuse when receiving blocking therapy	Drug abuse
94699	ZRB5.00	diabetes treatment satisfaction questionnaire	Diabetes (uncomplicated)
9470	B34z.00	malignant neoplasm of female breast nos	Solid tumour or leukaemia
94732	Q207z00	cranial or peripheral nerve palsy due to birth trauma nos	Paralysis
94750	BBp0.00	[m]mastocytoma nos	Lymphoma
94776	B1z2.00	"malignant neoplasm, overlapping lesion of digestive system"	Solid tumour or leukaemia
94784	7A45.15	emergency replacement aneurysmal superficial femoral artery	Peripheral vascular disease
94789	1Z17.00	chronic kidney disease stage 1 with proteinuria	Renal disease
9479	7936A00	implant intravenous pacemaker for atrial fibrillation	Cardiac arrythmia
94793	1Z1B.00	chronic kidney disease stage 3 with proteinuria	Renal disease
94810	BBB4.00	[m]adenocarcinoma with spindle cell metaplasia	Solid tumour or leukaemia
94870	G580400	congestive heart failure due to valvular disease	Congestive heart failure
94872	G133.11	mitral and aortic insufficiency	Valvular disease
94873	BB2A.13	[m]squamous cell carcinoma of skin nos	Solid tumour or leukaemia
9489	9NN2.00	under care of community alcohol team	Alcohol abuse
94894	H431.00	bauxite fibrosis of lung	Chronic pulmonary disease
949	7H62z00	excision or biopsy of lymph node nos	Metastatic cancer
9491	B142.11	anal carcinoma	Solid tumour or leukaemia
94915	C043200	hypothyroidism resulting from resorcinol	Hypothyroidism
94935	4M21.00	lymphoma stage ii	Lymphoma
9494	J616.00	biliary cirrhosis	Liver disease
94940	A93..00	cardiovascular syphilis	Valvular disease
94946	H592.00	chronic type 1 respiratory failure	Chronic pulmonary disease
94955	9NiE.00	did not attend xpert diabetes structured education programme	Diabetes (uncomplicated)
94956	8I84.00	did not complete xpert diabetes structured education program	Diabetes (uncomplicated)
94965	1Z15.00	chronic kidney disease stage 3a	Renal disease
94975	B241300	malignant neoplasm of pericardium	Solid tumour or leukaemia
9498	7911	plastic repair of aortic valve	Valvular disease
94995	B620500	nodular lymphoma of lymph nodes of inguinal region and leg	Lymphoma
94996	H572.00	lung disease with systemic sclerosis	Chronic pulmonary disease
95008	BB82112	[m]gelatinous adenocarcinoma	Solid tumour or leukaemia
95012	B621800	mycosis fungoides of lymph nodes of multiple sites	Lymphoma
95016	B0z1.00	malignant neoplasm of waldeyer's ring	Solid tumour or leukaemia
95018	P110z00	unspecified spina bifida without hydrocephalus nos	Other neurological disorders
95021	9N4s.00	did not attend practice nurse heart failure clinic	Congestive heart failure
95024	BBG8.00	[m]infantile fibrosarcoma	Solid tumour or leukaemia
95027	SL6yz00	antiparkinsonian drug poisoning nos	Other neurological disorders
9503	D31..00	purpura and other haemorrhagic conditions	Coagulopathy
95046	BB60.00	[m]skin appendage adenoma and carcinoma	Solid tumour or leukaemia
95049	B616000	hodgkin's lymphocytic depletion of unspecified site	Lymphoma
9505	B582600	secondary malignant neoplasm of skin of breast	Metastatic cancer
95057	B34y000	malignant neoplasm of ectopic site of female breast	Solid tumour or leukaemia
95058	B600700	reticulosarcoma of spleen	Lymphoma
9508	Eu10011	[x]acute alcoholic drunkenness	Alcohol abuse
95082	24D8.00	o/e-pulmonary diastolic murmur	Valvular disease
9509	Eu02300	[x]dementia in parkinson's disease	Other neurological disorders
95093	8I83.00	did not complete desmond diabetes structured educat program	Diabetes (uncomplicated)
95094	8I81.00	did not complete diabetes structured education programme	Diabetes (uncomplicated)
95121	1Z1A.00	chronic kidney disease stage 2 without proteinuria	Renal disease
95122	1Z1H.00	chronic kidney disease stage 4 with proteinuria	Renal disease
95123	1Z1C.00	chronic kidney disease stage 3 without proteinuria	Renal disease
95145	1Z1B.11	ckd stage 3 with proteinuria	Renal disease
95146	1Z19.00	chronic kidney disease stage 2 with proteinuria	Renal disease
95150	BB81B00	[m]serous surface papillary carcinoma	Solid tumour or leukaemia
95159	9NiD.00	did not attend desmond diabetes structured education program	Diabetes (uncomplicated)
95170	7A58y00	other specified transluminal coil embolisation of aneurysm	Peripheral vascular disease
95175	1Z1E.00	chronic kidney disease stage 3a without proteinuria	Renal disease
95176	1Z1E.11	ckd stage 3a without proteinuria	Renal disease
95177	1Z1G.00	chronic kidney disease stage 3b without proteinuria	Renal disease
95178	1Z1F.00	chronic kidney disease stage 3b with proteinuria	Renal disease
95179	1Z16.00	chronic kidney disease stage 3b	Renal disease
95180	1Z1F.11	ckd stage 3b with proteinuria	Renal disease
95181	Z191211	alcohol reduction programme	Alcohol abuse
95182	B308100	malignant neoplasm of talus	Solid tumour or leukaemia
95188	1Z1C.11	ckd stage 3 without proteinuria	Renal disease
9520	66YB.00	chronic obstructive pulmonary disease monitoring	Chronic pulmonary disease
9521	Eu30.11	"[x]bipolar disorder, single manic episode"	Psychoses
9524	G580.14	biventricular failure	Congestive heart failure
9532	C290.00	vitamin k deficiency	Coagulopathy
95323	B35z000	malignant neoplasm of ectopic site of male breast	Solid tumour or leukaemia
95334	G210000	malignant hypertensive heart disease without ccf	Hypertension with end-organ damage
95338	B613600	"hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"	Lymphoma
95343	C10E711	type i diabetes mellitus with retinopathy	Diabetes with end-organ damage
95347	Fyu5700	[x]other vascular syndroms/brain in cerebrovasculr diseases	Other neurological disorders
95351	C10FA11	type ii diabetes mellitus with mononeuropathy	Diabetes with end-organ damage
9537	D00yz00	other specified iron deficiency anaemia nos	Deficiency anaemia
95373	BBCC100	"[m]leydig cell tumour, malignant"	Solid tumour or leukaemia
95378	B561200	secondary and unspec malig neop diaphragmatic lymph nodes	Metastatic cancer
95380	1T20.00	h/o daily ecstasy misuse	Drug abuse
95381	Gyu7300	[x]aneurysm of other specified arteries	Peripheral vascular disease
95390	B800.00	"carcinoma in situ of lip, oral cavity and pharynx"	Solid tumour or leukaemia
95396	1T90.00	h/o daily solvent misuse	Drug abuse
95405	1Z1L.00	chronic kidney disease stage 5 without proteinuria	Renal disease
95406	1Z1J.00	chronic kidney disease stage 4 without proteinuria	Renal disease
95408	1Z1D.00	chronic kidney disease stage 3a with proteinuria	Renal disease
95416	7A46D00	replace aneurysm popliteal artery by pop/fem anastomosis nec	Peripheral vascular disease
95421	B45y.00	malignant neoplasm of other specified female genital organ	Solid tumour or leukaemia
95422	9Ni9.00	did not attend chronic kidney disease monitoring clinic	Renal disease
95429	B071.00	malignant neoplasm of posterior wall of nasopharynx	Solid tumour or leukaemia
95437	Nyu4E00	"[x]dermatopolymyositis, unspecified"	Rheumatoid arthritis and collagen diseases
95458	B300300	malignant neoplasm of nasal bone	Solid tumour or leukaemia
95464	BBl0.00	[m]mycosis fungoides	Lymphoma
95478	P117200	thoracic spina bifida without hydrocephalus - open	Other neurological disorders
95480	B001100	"malignant neoplasm of lower lip, lipstick area"	Solid tumour or leukaemia
95488	Gyu4.00	[x]pulmon heart disease & diseases of pulmonary circulation	Pulmonary circulation disorders
95503	7A40z00	replacement of aneurysmal iliac artery nos	Peripheral vascular disease
95505	B41y000	malignant neoplasm of cervical stump	Solid tumour or leukaemia
95508	1Z1K.00	chronic kidney disease stage 5 with proteinuria	Renal disease
9552	66Y5.00	change in asthma management plan	Chronic pulmonary disease
95532	791C500	aortoventriculoplasty with pulmonary valve autograft	Valvular disease
95539	C10FS00	maternally inherited diabetes mellitus	Diabetes (uncomplicated)
95553	9NiA.00	did not attend diabetes structured education programme	Diabetes (uncomplicated)
95559	B81yz00	carcinoma in situ of specified parts respiratory system nos	Solid tumour or leukaemia
95571	1Z1D.11	ckd stage 3a with proteinuria	Renal disease
95572	1Z18.00	chronic kidney disease stage 1 without proteinuria	Renal disease
95577	7A58300	percutaneous transluminal coil embolisation aneurysm giant	Peripheral vascular disease
95609	BB5B300	"[m]insulinoma, malignant"	Solid tumour or leukaemia
95615	F150.11	infantile spinal muscular atrophy	Other neurological disorders
95629	B325500	malignant melanoma of perineum	Solid tumour or leukaemia
95630	B62x600	true histiocytic lymphoma	Lymphoma
95636	C10ER00	latent autoimmune diabetes mellitus in adult	Diabetes (uncomplicated)
95641	8Hj1.00	family/carer referral to diabetes structured education prog	Diabetes (uncomplicated)
95644	B241.00	malignant neoplasm of heart	Solid tumour or leukaemia
9565	Eu01.11	[x]arteriosclerotic dementia	Other neurological disorders
95671	Byu5700	"[x]malignant neoplasm of peritoneum, unspecified"	Solid tumour or leukaemia
9569	F255000	"jacksonian, focal or motor epilepsy"	Other neurological disorders
95710	K10y300	pyelonephritis in diseases ec	Renal disease
95715	B627900	mucosa-associated lymphoma	Lymphoma
95772	B051000	malignant neoplasm of upper buccal sulcus	Solid tumour or leukaemia
95783	B17yz00	malignant neoplasm of specified site of pancreas nos	Solid tumour or leukaemia
95784	7918500	closure of pulmonary valve	Valvular disease
95792	B62zz00	lymphoid and histiocytic malignancy nos	Lymphoma
95799	7913411	pulmonary valve repair nec	Valvular disease
95813	9N1o.00	seen in multidisciplinary diabetic clinic	Diabetes (uncomplicated)
95817	7914y00	other specified plastic repair of unspecified valve of heart	Valvular disease
95818	BBD1.00	"[m]paraganglioma, malignant"	Solid tumour or leukaemia
95830	C047.00	subclinical hypothyroidism	Hypothyroidism
95835	679X.00	heart failure education	Congestive heart failure
95864	8Cc2.00	management of multiple sclerosis in stable disability phase	Other neurological disorders
95885	66BB.00	hypothyroidism annual review	Hypothyroidism
9591	G541500	aortic stenosis	Valvular disease
95926	9kZ..00	hepatitis b screening positive - enhanced services admin	Liver disease
95949	B621000	mycosis fungoides of unspecified site	Lymphoma
95953	E255300	nondependent opioid abuse in remission	Drug abuse
95955	E253100	"nondependent hallucinogen abuse, continuous"	Drug abuse
95956	E253200	"nondependent hallucinogen abuse, episodic"	Drug abuse
95972	F207.00	relapsing and remitting multiple sclerosis	Other neurological disorders
95976	7A1B500	endovascular stenting of aorto-uniiliac aneurysm	Peripheral vascular disease
95992	C108A11	type i diabetes mellitus without complication	Diabetes (uncomplicated)
95994	66Aq.00	diabetic foot screen	Diabetes (uncomplicated)
96003	B055000	malignant neoplasm of junction of hard and soft palate	Solid tumour or leukaemia
96004	L183z00	drug dependence during pregnancy/childbirth/puerperium nos	Drug abuse
96009	9HC6.00	substance misuse treatment declined	Drug abuse
96049	677T.00	substance misuse structured counselling	Drug abuse
96054	9k1B.00	extended intervention for excessive alcohol consumptn complt	Alcohol abuse
96076	G573500	persistent atrial fibrillation	Cardiac arrythmia
96085	9kV..00	hepatitis c screening positive - enhanced services admin	Liver disease
96090	J141.00	chronic gastrojejunal ulcer	Peptic ulcer disease
96094	B119.00	siewert type iii adenocarcinoma	Solid tumour or leukaemia
9611	P23..00	congenital hydrocephalus	Other neurological disorders
96133	7B00400	"allotransplantation kidney from cadaver, heart non-beating"	Renal disease
9618	B56..00	secondary and unspecified malignant neoplasm of lymph nodes	Metastatic cancer
96183	BBj4.00	"[m]hodgkin's disease,lymphocytic depletion,diffuse fibrosis"	Lymphoma
96184	TA02000	"accid cut,puncture,perf,h'ge - kidney dialysis"	Renal disease
96192	7Q05300	rsv treatment and hepatitis c treatment drugs band 1	Liver disease
96198	1T7..00	h/o hallucinogen misuse	Drug abuse
96199	7912511	tricuspid valve repair nec	Valvular disease
96209	G401100	recurrent pulmonary embolism	Pulmonary circulation disorders
9622	B525.00	malignant neoplasm of cauda equina	Solid tumour or leukaemia
96226	ByuC100	[x]malignant neoplasm/overlap lesion/other+ill-defined sites	Solid tumour or leukaemia
96231	BBGJ.00	"[m]fibroxanthoma, malignant"	Solid tumour or leukaemia
96235	C10E911	type i diabetes mellitus maturity onset	Diabetes (uncomplicated)
96246	F208.00	secondary progressive multiple sclerosis	Other neurological disorders
96247	7914500	truncal valve repair	Valvular disease
96255	7A47600	emerg bypass femoral art by fem/tib a anast c vein graft nec	Peripheral vascular disease
96277	G573400	permanent atrial fibrillation	Cardiac arrythmia
96280	4M72.00	clark melanoma level 3	Solid tumour or leukaemia
96291	F204.00	benign multiple sclerosis	Other neurological disorders
96316	7918400	closure of tricuspid valve	Valvular disease
96347	7A61900	ligation of arteriovenous dialysis fistula	Renal disease
96379	B621400	mycosis fungoides of lymph nodes of axilla and upper limb	Lymphoma
96407	P110300	lumbar spina bifida without mention of hydrocephalus	Other neurological disorders
96429	B470z00	malignant neoplasm of undescended testis nos	Solid tumour or leukaemia
96445	B300B00	malignant neoplasm of turbinate	Solid tumour or leukaemia
96472	7A46000	replace aneurysm fem art by fem/pop art anastom c prosth nec	Peripheral vascular disease
96494	BB5Tz00	[m]papillary adenoma or adenocarcinoma nos	Solid tumour or leukaemia
96506	C10G000	secondary pancreatic diabetes mellitus without complication	Diabetes (uncomplicated)
96562	7A58000	percutaneous transluminal coil embolisation aneurysm small	Peripheral vascular disease
96585	B32y000	overlapping malignant melanoma of skin	Solid tumour or leukaemia
96607	F206.00	primary progressive multiple sclerosis	Other neurological disorders
9663	66Y9.00	step up change in asthma management plan	Chronic pulmonary disease
96630	Gyu6F00	"[x]intracerebral haemorrhage in hemisphere, unspecified"	Other neurological disorders
96635	B17y000	malignant neoplasm of ectopic pancreatic tissue	Solid tumour or leukaemia
96638	ZC2CH11	dietary advice for liver disease	Liver disease
96641	F25y500	panayiotopoulos syndrome	Other neurological disorders
96654	7A11000	emerg repl aneurysm bifurc aorta by anast aorta to fem art	Peripheral vascular disease
96655	H57y500	lung disease with syphilis	Chronic pulmonary disease
96656	7A46z00	other replacement of aneurysmal femoral/popliteal artery nos	Peripheral vascular disease
96664	J615800	juvenile portal cirrhosis	Liver disease
9667	Eu32200	[x]severe depressive episode without psychotic symptoms	Depression
96683	L363z00	postpartum coagulation defects nos	Coagulopathy
96699	7A40000	emerg replace aneurysm iliac art by iliac/femoral art anast	Peripheral vascular disease
96709	P110200	thoracic spina bifida without mention of hydrocephalus	Other neurological disorders
